Day,AliveAnimals,Plants,AverageEnergy,AverageLifespan
1,5,140,49.00,1.00
2,5,203,50.00,2.00
3,5,248,50.00,3.00
4,5,273,52.00,4.00
5,5,298,54.00,5.00
6,5,309,56.00,6.00
7,5,328,58.00,7.00
8,5,342,62.00,8.00
9,5,350,65.00,9.00
10,5,361,68.00,10.00
11,5,370,71.00,11.00
12,5,376,75.00,12.00
13,5,379,79.00,13.00
14,5,380,83.00,14.00
15,5,380,86.00,15.00
16,5,380,90.00,16.00
17,6,384,77.50,14.17
18,7,384,69.14,13.00
19,7,380,73.14,14.00
20,7,380,76.43,15.00
21,7,379,80.43,16.00
22,7,380,84.43,17.00
23,7,381,87.71,18.00
24,7,381,91.00,19.00
25,7,380,95.00,20.00
26,7,380,99.00,21.00
27,7,376,103.00,22.00
28,7,383,107.00,23.00
29,7,381,111.00,24.00
30,7,382,114.29,25.00
31,7,384,117.57,26.00
32,7,383,120.14,27.00
33,7,379,124.14,28.00
34,7,380,127.43,29.00
35,7,380,131.43,30.00
36,7,380,135.43,31.00
37,7,380,138.71,32.00
38,7,378,142.71,33.00
39,7,374,146.00,34.00
40,8,378,130.63,30.63
41,9,377,118.56,28.11
42,9,375,120.89,29.11
43,9,373,123.78,30.11
44,9,371,127.22,31.11
45,9,371,130.67,32.11
46,9,365,134.67,33.11
47,9,368,138.11,34.11
48,9,367,142.11,35.11
49,9,372,146.11,36.11
50,9,373,150.11,37.11
51,9,372,154.11,38.11
52,9,371,157.56,39.11
53,9,370,160.44,40.11
54,9,371,163.89,41.11
55,9,372,167.89,42.11
56,9,377,169.11,43.11
57,9,371,172.56,44.11
58,9,372,176.00,45.11
59,9,369,179.44,46.11
60,9,370,182.33,47.11
61,9,377,185.78,48.11
62,9,375,189.22,49.11
63,9,371,192.67,50.11
64,9,373,195.56,51.11
65,9,370,198.44,52.11
66,9,371,200.78,53.11
67,9,370,203.67,54.11
68,9,373,206.56,55.11
69,9,376,210.00,56.11
70,9,372,213.44,57.11
71,9,371,216.89,58.11
72,9,368,220.89,59.11
73,9,363,224.89,60.11
74,10,371,205.00,55.00
75,11,370,188.64,50.91
76,12,374,176.17,47.58
77,12,372,179.75,48.58
78,12,376,183.75,49.58
79,12,375,187.75,50.58
80,13,373,176.23,47.62
81,13,375,180.23,48.62
82,13,373,183.85,49.62
83,13,368,187.85,50.62
84,13,367,191.46,51.62
85,13,368,195.08,52.62
86,13,372,198.69,53.62
87,13,371,201.15,54.62
88,13,372,204.77,55.62
89,14,376,193.14,52.57
90,15,371,183.00,50.00
91,16,374,173.75,47.81
92,16,369,177.44,48.81
93,18,368,160.44,44.28
94,19,367,154.47,42.89
95,20,364,149.80,41.70
96,22,360,139.14,38.82
97,24,352,130.58,36.50
98,26,348,128.00,35.80
99,25,351,130.40,36.80
100,26,351,127.88,36.35
101,27,345,126.07,35.96
102,30,343,116.07,33.27
103,31,344,115.06,33.16
104,32,342,114.25,33.09
105,34,337,110.71,32.09
106,34,335,113.97,33.09
107,35,334,114.03,33.11
108,35,339,116.89,34.11
109,36,340,116.56,34.14
110,38,336,113.16,33.29
111,38,324,116.24,34.29
112,39,329,115.87,34.38
113,40,327,115.00,34.50
114,41,322,114.76,34.63
115,44,319,109.41,33.20
116,48,315,102.29,31.35
117,53,307,94.75,29.30
118,57,299,90.16,28.18
119,61,297,86.02,27.26
120,63,289,85.10,27.37
121,66,292,82.92,27.08
122,68,291,82.82,27.25
123,70,296,82.56,27.44
124,72,291,83.58,27.97
125,75,297,81.17,27.43
126,80,290,79.22,25.91
127,86,289,74.23,24.72
128,92,282,71.68,23.98
129,95,282,71.24,24.13
130,99,272,71.06,24.09
131,103,274,69.81,23.70
132,110,257,66.24,22.75
133,116,250,64.79,22.27
134,121,245,62.54,21.93
135,130,257,59.66,21.34
136,141,253,57.02,20.82
137,149,247,55.77,20.64
138,156,232,54.04,20.35
139,163,219,52.97,20.12
140,178,213,49.37,19.24
141,193,226,46.72,18.73
142,204,221,44.96,18.31
143,219,222,42.56,17.90
144,229,210,41.60,17.94
145,245,217,40.34,17.61
146,253,216,39.10,17.58
147,266,223,39.11,17.69
148,279,215,37.99,17.51
149,294,204,36.25,17.21
150,312,199,35.62,17.25
151,320,182,35.75,17.43
152,334,196,34.87,17.21
153,345,189,34.60,17.50
154,355,190,33.82,17.55
155,368,178,33.31,17.67
156,381,189,32.91,17.60
157,396,185,31.79,17.53
158,412,177,31.12,17.67
159,424,169,30.28,17.81
160,444,168,29.62,17.39
161,457,169,28.73,17.42
162,464,163,28.61,17.90
163,476,175,28.08,18.10
164,480,179,27.99,18.54
165,491,159,27.60,18.72
166,501,186,27.22,18.98
167,506,171,27.61,19.37
168,508,161,27.20,19.67
169,532,167,26.20,19.54
170,551,158,25.73,19.45
171,557,148,25.53,19.58
172,571,156,24.82,19.35
173,586,155,24.23,19.18
174,597,152,23.89,19.51
175,604,163,24.22,19.32
176,599,153,23.87,19.41
177,611,148,23.52,19.64
178,615,156,23.42,20.02
179,622,147,23.13,20.05
180,631,152,23.18,20.05
181,635,163,22.89,20.00
182,636,149,22.80,20.36
183,637,156,22.75,20.63
184,637,162,23.00,21.11
185,635,146,22.97,20.98
186,636,158,23.02,21.20
187,632,171,22.82,21.34
188,639,167,23.07,21.33
189,629,160,23.40,21.45
190,625,158,23.41,21.69
191,631,168,23.22,21.61
192,636,166,23.12,21.68
193,634,155,23.42,21.88
194,637,171,23.41,22.05
195,635,159,23.22,22.45
196,649,153,22.99,22.59
197,653,149,22.99,22.31
198,648,150,22.76,22.41
199,659,145,22.62,22.37
200,665,173,22.18,21.73
201,670,149,22.29,21.97
202,672,142,22.08,22.03
203,668,159,22.18,22.60
204,667,143,22.37,22.42
205,667,161,22.21,22.34
206,667,147,22.32,22.28
207,663,156,22.49,22.53
208,662,173,22.14,22.57
209,670,145,22.00,22.91
210,677,161,22.27,22.91
211,671,152,22.14,22.69
212,672,165,22.15,22.86
213,670,160,21.89,22.69
214,679,146,21.81,22.90
215,680,136,22.01,23.05
216,669,154,22.05,23.35
217,666,145,22.14,23.14
218,654,152,22.25,23.61
219,651,158,22.44,23.65
220,660,157,22.32,23.29
221,651,152,21.98,23.43
222,661,156,22.27,23.45
223,657,163,21.88,23.12
224,663,158,22.13,22.90
225,665,150,22.04,22.93
226,663,144,22.02,23.02
227,662,167,21.95,23.18
228,661,147,22.19,23.24
229,662,161,21.91,23.17
230,665,165,21.65,23.22
231,668,159,21.87,23.27
232,661,147,21.89,23.28
233,657,148,22.01,23.42
234,650,155,22.13,23.59
235,649,175,22.20,23.70
236,644,170,22.22,23.83
237,647,156,22.49,23.73
238,639,164,22.54,23.90
239,643,140,22.48,23.85
240,646,158,22.43,23.84
241,645,179,22.44,23.64
242,643,153,22.75,24.03
243,642,159,22.74,23.96
244,633,156,22.79,24.23
245,640,145,22.77,24.52
246,637,150,22.93,24.66
247,633,161,22.76,24.68
248,639,163,22.61,24.76
249,649,175,22.34,24.66
250,654,165,22.45,24.71
251,651,147,22.36,24.79
252,658,167,22.07,24.82
253,665,148,22.24,24.85
254,660,148,22.24,25.03
255,658,148,22.12,25.08
256,658,152,22.29,25.18
257,654,172,21.88,25.31
258,662,160,22.09,25.45
259,662,165,22.22,25.29
260,659,153,22.04,25.23
261,663,148,22.44,25.08
262,651,161,22.44,25.05
263,654,145,22.30,24.81
264,650,157,22.38,24.84
265,654,153,22.59,24.71
266,641,161,22.35,24.60
267,644,150,22.53,24.89
268,646,154,22.58,24.63
269,638,156,22.64,24.86
270,632,159,22.98,25.32
271,630,152,22.87,25.23
272,636,150,22.82,25.09
273,641,159,22.59,24.78
274,637,151,22.67,24.89
275,641,159,22.75,24.69
276,640,164,22.73,24.55
277,642,165,22.69,24.38
278,643,148,22.73,24.53
279,634,153,22.71,24.84
280,635,155,22.55,25.08
281,640,171,22.71,24.97
282,634,151,23.03,24.99
283,632,152,23.06,24.62
284,629,152,22.81,24.73
285,638,171,22.80,24.77
286,643,152,22.84,24.61
287,644,153,22.77,24.53
288,644,162,22.62,24.35
289,640,169,22.75,24.27
290,641,148,22.69,24.43
291,649,158,22.51,24.28
292,646,156,22.88,24.50
293,644,149,22.65,24.61
294,652,174,22.40,24.55
295,655,144,22.40,24.32
296,660,152,22.09,24.07
297,665,157,22.19,24.27
298,657,167,22.16,24.38
299,656,151,22.42,24.20
300,654,159,22.36,24.53
301,653,152,22.45,24.55
302,655,146,22.45,24.50
303,653,155,22.70,24.66
304,645,152,22.71,24.69
305,647,155,22.37,24.58
306,651,160,22.54,24.70
307,647,175,22.41,24.72
308,652,169,22.41,24.46
309,651,174,22.52,24.39
310,648,158,22.93,24.52
311,650,161,22.56,24.33
312,654,154,22.41,24.36
313,656,147,22.48,24.39
314,652,146,22.52,24.68
315,650,143,22.39,24.86
316,654,140,22.52,24.93
317,644,147,22.34,25.17
318,653,158,22.15,25.10
319,654,170,22.19,25.19
320,646,158,22.18,25.42
321,653,153,22.12,25.51
322,656,162,22.08,25.23
323,657,163,22.48,25.40
324,638,167,22.86,24.85
325,636,162,22.84,24.70
326,633,160,23.31,25.02
327,631,169,23.01,24.83
328,625,169,23.43,25.05
329,621,171,23.47,24.90
330,621,165,23.65,24.54
331,619,174,23.70,24.17
332,618,166,23.64,24.49
333,624,152,23.55,24.55
334,630,164,23.26,24.46
335,630,147,23.57,24.35
336,630,151,23.47,24.14
337,622,153,23.56,24.61
338,629,141,23.30,24.60
339,629,160,23.22,24.63
340,635,147,23.03,24.44
341,648,157,22.78,24.47
342,651,161,22.76,24.32
343,648,156,22.70,24.31
344,650,158,22.64,24.18
345,645,160,22.77,24.59
346,650,166,22.48,24.44
347,657,141,22.60,24.68
348,662,149,22.38,24.66
349,665,161,22.33,24.85
350,657,142,22.85,24.71
351,649,152,22.68,24.46
352,648,157,22.62,24.50
353,650,157,22.71,24.46
354,644,176,22.72,24.30
355,644,163,22.88,24.32
356,651,166,22.56,24.27
357,652,153,22.61,24.66
358,660,155,22.31,24.69
359,665,168,22.30,24.75
360,665,156,22.24,24.62
361,672,155,22.46,24.23
362,666,144,22.21,24.29
363,669,150,22.28,24.29
364,660,156,22.74,24.89
365,653,160,22.48,24.49
366,655,165,22.55,24.63
367,648,150,22.99,24.23
368,643,164,22.98,24.34
369,648,144,22.73,24.28
370,653,149,22.32,24.59
371,661,141,22.28,24.50
372,660,154,22.11,24.45
373,663,165,22.25,24.72
374,651,161,22.44,24.92
375,651,153,22.50,24.99
376,651,150,22.61,25.17
377,650,142,22.39,24.94
378,646,159,22.58,25.04
379,648,166,22.13,25.16
380,653,150,22.35,25.04
381,650,156,22.42,24.65
382,649,152,22.41,24.88
383,650,148,22.44,24.67
384,647,151,22.67,24.22
385,638,145,22.46,24.50
386,642,166,22.47,24.52
387,646,161,22.60,24.31
388,641,150,22.69,24.29
389,641,147,22.48,24.47
390,643,167,22.49,24.06
391,635,152,23.02,24.43
392,630,153,23.18,24.41
393,623,160,23.13,24.47
394,628,160,22.94,24.49
395,639,144,22.96,24.01
396,636,158,22.76,23.90
397,632,169,22.74,24.14
398,627,162,23.27,24.74
399,619,162,23.42,24.91
400,617,156,23.51,24.71
401,617,154,23.55,24.75
402,608,154,23.65,25.10
403,626,156,23.07,24.72
404,635,162,22.92,24.71
405,636,176,23.04,25.10
406,632,161,23.19,25.25
407,637,173,23.09,24.89
408,637,162,22.98,24.82
409,637,164,23.03,24.94
410,639,159,23.10,25.13
411,641,159,22.98,25.20
412,635,159,23.06,25.58
413,644,156,22.74,25.65
414,643,146,22.84,25.58
415,644,149,22.58,25.71
416,649,154,22.60,25.63
417,652,162,22.56,25.31
418,650,156,22.60,25.47
419,655,160,22.17,25.32
420,670,158,21.90,25.20
421,666,153,21.93,25.30
422,667,154,21.82,25.38
423,662,156,22.11,25.57
424,662,157,22.15,25.42
425,661,158,22.50,25.48
426,650,153,22.52,25.58
427,655,168,22.35,25.17
428,655,176,22.47,25.26
429,655,163,22.48,25.23
430,663,158,22.32,24.81
431,663,142,22.28,24.75
432,665,155,22.32,24.77
433,661,157,22.09,24.47
434,662,162,22.33,24.58
435,663,151,22.20,24.49
436,661,160,22.02,24.43
437,668,158,21.87,24.36
438,670,145,22.05,24.42
439,666,144,22.20,24.41
440,657,162,22.13,24.61
441,658,167,21.97,24.77
442,659,150,21.86,25.01
443,664,161,22.02,25.09
444,661,163,21.97,24.89
445,652,167,22.06,25.24
446,659,151,22.18,25.17
447,651,149,22.47,25.01
448,643,161,22.52,25.18
449,647,163,22.41,25.15
450,650,167,22.27,24.96
451,657,161,22.15,24.74
452,660,146,22.41,24.75
453,649,158,22.54,25.05
454,651,134,22.55,24.70
455,657,161,22.03,24.16
456,658,162,22.31,24.00
457,654,165,21.96,24.10
458,659,172,21.93,24.38
459,659,149,22.16,24.43
460,658,157,22.49,24.35
461,648,141,22.38,24.44
462,651,158,22.21,24.75
463,650,161,22.19,24.87
464,660,158,22.07,24.85
465,666,149,21.79,24.41
466,673,181,21.83,24.13
467,664,149,22.03,24.45
468,656,161,21.96,24.73
469,663,165,21.88,24.66
470,661,149,22.08,24.67
471,654,151,22.03,24.73
472,647,155,22.29,24.95
473,637,150,22.49,25.35
474,636,144,22.39,25.38
475,635,155,22.48,25.70
476,631,164,22.54,25.99
477,629,173,22.58,25.98
478,627,152,22.55,26.14
479,635,145,22.65,26.15
480,641,154,22.57,25.50
481,636,159,22.63,25.30
482,633,141,22.57,25.27
483,636,145,22.66,25.02
484,637,157,22.56,25.02
485,636,149,22.43,24.97
486,637,158,22.23,25.17
487,645,161,22.10,25.14
488,644,170,22.17,25.16
489,643,163,22.29,25.48
490,643,153,22.50,25.70
491,636,151,22.44,25.61
492,630,156,22.86,26.03
493,623,145,22.63,26.11
494,633,163,22.93,25.96
495,625,156,22.89,25.68
496,624,162,22.97,25.50
497,619,154,23.05,25.86
498,621,160,23.13,25.77
499,623,139,22.93,25.76
500,625,153,22.94,26.10
501,618,132,23.30,26.33
502,612,147,23.03,26.17
503,615,164,23.35,26.41
504,617,137,23.45,26.29
505,621,163,23.09,25.92
506,624,165,22.96,25.99
507,626,139,23.13,25.77
508,630,162,22.58,25.60
509,636,159,22.69,25.61
510,639,166,22.59,25.48
511,644,159,22.36,25.44
512,646,172,22.40,25.56
513,650,165,22.20,25.38
514,658,175,22.19,25.10
515,654,169,22.48,25.11
516,649,152,22.55,24.72
517,650,163,22.65,24.38
518,645,164,22.62,24.51
519,640,162,22.89,24.71
520,642,153,22.82,24.61
521,647,153,22.48,24.48
522,656,152,22.44,24.10
523,649,143,22.46,24.23
524,653,158,22.21,24.06
525,654,154,22.27,24.22
526,659,155,22.18,24.09
527,651,156,22.05,24.39
528,657,145,22.28,24.29
529,657,147,21.90,24.03
530,660,150,22.07,23.96
531,653,156,22.13,24.19
532,648,161,22.14,24.40
533,645,155,22.30,24.50
534,647,147,22.19,24.39
535,644,161,22.69,24.55
536,630,153,22.60,24.87
537,643,161,22.44,24.64
538,647,159,22.18,24.50
539,642,143,22.62,24.81
540,631,152,22.71,24.64
541,635,156,22.42,23.95
542,636,156,22.48,24.37
543,638,151,22.33,24.48
544,645,154,22.47,24.03
545,638,157,22.13,24.19
546,649,151,22.08,24.14
547,649,155,21.95,23.83
548,646,142,21.78,24.03
549,652,148,21.58,24.22
550,651,147,21.73,24.39
551,648,152,21.96,24.08
552,642,154,21.96,23.87
553,643,169,21.86,24.16
554,640,153,22.29,24.64
555,631,169,22.31,24.61
556,631,162,22.66,24.82
557,619,147,22.74,25.08
558,622,153,22.88,25.28
559,621,146,22.91,25.24
560,619,147,22.66,25.33
561,619,156,22.83,25.48
562,614,167,22.90,25.99
563,615,174,22.99,26.11
564,615,157,23.34,26.24
565,620,155,22.80,25.97
566,627,166,22.66,25.94
567,632,156,22.65,25.75
568,644,152,22.17,25.79
569,652,166,22.20,25.61
570,644,142,22.46,25.66
571,649,162,22.45,25.33
572,644,173,22.50,25.18
573,643,176,22.78,24.73
574,639,156,22.86,24.68
575,645,154,22.83,24.50
576,647,172,22.57,24.10
577,655,151,22.42,24.13
578,663,155,22.67,24.07
579,653,136,22.35,23.89
580,659,164,22.45,23.75
581,652,149,22.30,23.61
582,652,150,22.40,23.29
583,650,158,22.28,23.10
584,655,166,22.13,22.80
585,650,151,22.24,23.02
586,647,148,22.27,23.18
587,643,157,22.28,23.34
588,642,145,22.32,23.39
589,645,161,22.02,23.47
590,638,158,22.32,23.75
591,642,170,22.52,23.66
592,631,166,22.94,23.78
593,629,153,22.62,23.81
594,644,144,22.62,23.48
595,640,144,22.44,23.38
596,645,161,22.38,23.22
597,640,165,22.46,23.50
598,649,150,22.36,23.37
599,645,154,22.71,23.47
600,634,149,22.94,23.76
601,637,166,22.73,23.12
602,632,169,22.97,23.17
603,639,140,22.86,23.01
604,641,136,22.81,22.97
605,640,156,22.65,22.90
606,643,162,22.48,22.80
607,639,146,22.39,23.01
608,655,151,22.05,22.67
609,648,147,21.99,23.02
610,654,152,21.92,23.28
611,648,154,22.20,23.54
612,642,158,22.07,23.61
613,640,155,22.33,23.84
614,641,160,22.40,24.04
615,630,165,22.91,24.34
616,625,168,23.00,24.14
617,619,148,23.04,24.39
618,626,158,23.09,24.62
619,623,164,23.21,24.69
620,618,171,22.97,24.92
621,632,150,23.13,24.84
622,629,159,23.10,24.69
623,630,143,23.18,24.87
624,629,151,23.06,25.06
625,628,163,22.84,25.17
626,637,156,22.81,24.82
627,641,150,22.49,24.77
628,652,156,22.31,24.67
629,651,147,22.22,24.45
630,650,164,22.06,24.88
631,654,163,22.24,25.21
632,651,169,21.95,25.43
633,660,158,22.42,25.20
634,643,143,22.57,25.08
635,645,152,22.24,25.02
636,650,145,22.27,24.90
637,647,161,22.35,24.74
638,646,154,22.47,24.57
639,639,157,22.49,24.74
640,635,150,22.88,24.70
641,629,168,22.79,24.64
642,634,166,22.51,24.62
643,636,166,22.59,24.85
644,640,157,22.61,24.82
645,643,135,22.80,24.90
646,635,166,22.91,25.00
647,638,147,22.59,24.77
648,645,147,22.85,24.43
649,634,158,22.84,24.57
650,628,160,22.88,24.78
651,628,159,23.26,24.66
652,619,154,23.41,24.79
653,620,154,23.30,24.46
654,622,141,23.14,24.11
655,620,151,22.99,24.35
656,618,168,23.24,24.89
657,619,155,23.41,25.10
658,621,162,23.08,25.07
659,626,160,23.25,25.40
660,621,151,23.19,25.74
661,632,152,23.09,25.72
662,627,164,23.52,25.66
663,623,164,23.57,25.26
664,620,157,23.43,25.15
665,625,150,23.25,25.29
666,636,160,22.72,25.01
667,647,163,22.63,25.00
668,643,150,22.72,25.10
669,638,163,23.08,25.01
670,633,163,22.88,24.84
671,636,162,22.68,24.96
672,647,146,22.74,24.27
673,637,156,22.96,24.41
674,637,162,22.65,24.50
675,644,141,22.76,24.54
676,640,160,22.51,24.76
677,645,155,22.73,24.85
678,635,146,22.82,25.07
679,633,153,22.56,25.15
680,642,139,22.57,24.89
681,637,155,22.97,25.43
682,627,167,23.06,25.16
683,624,164,23.19,25.34
684,629,160,23.16,25.15
685,638,158,22.71,24.95
686,644,146,22.60,25.09
687,645,149,22.46,25.32
688,648,154,22.55,25.43
689,645,167,22.92,25.46
690,628,177,23.15,25.61
691,623,154,23.85,25.62
692,614,165,24.10,25.65
693,606,163,24.08,26.09
694,616,159,24.20,25.79
695,615,162,24.43,25.52
696,608,164,24.39,25.58
697,616,146,24.18,25.59
698,623,154,23.86,25.47
699,638,163,23.55,25.22
700,648,174,23.19,24.95
701,650,188,22.90,24.96
702,660,155,23.15,25.02
703,660,160,23.01,24.76
704,657,158,22.73,24.85
705,669,156,22.34,24.49
706,673,155,22.52,24.76
707,667,166,22.39,25.20
708,672,167,22.36,25.27
709,669,154,22.83,25.14
710,660,149,22.73,25.13
711,661,155,22.54,25.30
712,661,148,22.79,25.31
713,658,170,22.63,25.10
714,660,150,22.51,25.16
715,664,160,22.70,25.03
716,653,158,22.70,25.09
717,655,146,22.68,25.06
718,653,161,22.60,25.25
719,656,165,22.55,25.11
720,661,153,22.36,24.55
721,665,137,22.64,24.52
722,658,157,22.54,24.34
723,655,158,22.68,24.12
